ZIP5,ZIP3,Eligible Delivery Points,RU,HH,Email,Area,District
01431,014,1447,519,375,424,ATLANTIC,MA-RI
01432,014,3586,1570,1142,1324,ATLANTIC,MA-RI
01434,014,279,102,69,87,ATLANTIC,MA-RI
01436,014,1258,429,303,378,ATLANTIC,MA-RI
01438,014,507,24,18,23,ATLANTIC,MA-RI
01440,014,9261,3304,2362,2843,ATLANTIC,MA-RI
01450,014,4567,2063,1524,1654,ATLANTIC,MA-RI
01451,014,2127,1268,876,1017,ATLANTIC,MA-RI
01452,014,2000,666,504,535,ATLANTIC,MA-RI
01453,014,16784,6932,4967,5851,ATLANTIC,MA-RI
01460,014,4194,2115,1515,1701,ATLANTIC,MA-RI
01462,014,4868,2253,1607,1872,ATLANTIC,MA-RI
01463,014,5237,1934,1372,1562,ATLANTIC,MA-RI
01464,014,2985,1109,804,921,ATLANTIC,MA-RI
01467,014,58,7,7,4,ATLANTIC,MA-RI
01468,014,2054,808,567,713,ATLANTIC,MA-RI
01469,014,3351,1240,924,1052,ATLANTIC,MA-RI
01472,014,261,16,13,11,ATLANTIC,MA-RI
01473,014,3403,1266,950,1054,ATLANTIC,MA-RI
01474,014,773,333,242,272,ATLANTIC,MA-RI
01475,014,4209,1489,1092,1290,ATLANTIC,MA-RI
01501,015,6674,2656,1955,2219,ATLANTIC,MA-RI
01503,015,1844,776,571,669,ATLANTIC,MA-RI
01504,015,3895,1355,978,1153,ATLANTIC,MA-RI
01505,015,2419,1005,729,826,ATLANTIC,MA-RI
01506,015,1868,477,355,399,ATLANTIC,MA-RI
01507,015,4931,2023,1469,1656,ATLANTIC,MA-RI
01508,015,934,18,18,18,ATLANTIC,MA-RI
01510,015,6798,2248,1633,1935,ATLANTIC,MA-RI
01515,015,1300,314,226,268,ATLANTIC,MA-RI
01516,015,3980,1546,1110,1325,ATLANTIC,MA-RI
01518,015,1818,625,462,536,ATLANTIC,MA-RI
01519,015,2863,1517,1071,1248,ATLANTIC,MA-RI
01520,015,6037,2697,1977,2201,ATLANTIC,MA-RI
01521,015,1234,508,346,431,ATLANTIC,MA-RI
01522,015,1592,640,475,542,ATLANTIC,MA-RI
01523,015,2648,1119,836,934,ATLANTIC,MA-RI
01524,015,2650,939,669,782,ATLANTIC,MA-RI
01525,015,453,13,12,12,ATLANTIC,MA-RI
01526,015,424,11,10,11,ATLANTIC,MA-RI
01527,015,5564,2338,1682,2001,ATLANTIC,MA-RI
01529,015,1617,447,332,386,ATLANTIC,MA-RI
01531,015,509,100,87,87,ATLANTIC,MA-RI
01532,015,5749,3120,2169,2525,ATLANTIC,MA-RI
01534,015,2754,969,731,801,ATLANTIC,MA-RI
01535,015,2115,668,501,569,ATLANTIC,MA-RI
01536,015,3115,1561,1077,1334,ATLANTIC,MA-RI
01537,015,1354,380,288,325,ATLANTIC,MA-RI
